Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
566083,2019-03-20,Oakland Athletics,Seattle Mariners,Tokyo Dome,45787.0,204.0
566084,2019-03-21,Oakland Athletics,Seattle Mariners,Tokyo Dome,46451.0,267.0
565895,2019-03-28,Washington Nationals,New York Mets,Nationals Park,42263.0,164.0
567456,2019-03-28,New York Yankees,Baltimore Orioles,Yankee Stadium,46928.0,186.0
567552,2019-03-28,Milwaukee Brewers,St. Louis Cardinals,Miller Park,45304.0,156.0
567059,2019-03-28,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,44469.0,184.0
566864,2019-03-28,Toronto Blue Jays,Detroit Tigers,Rogers Centre,45048.0,145.0
566664,2019-03-28,Tampa Bay Rays,Houston Astros,Tropicana Field,25025.0,158.0
566763,2019-03-28,Texas Rangers,Chicago Cubs,Globe Life Park in Arlington,48538.0,187.0
566086,2019-03-28,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,22691.0,138.0
565799,2019-03-28,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,53086.0,169.0
565220,2019-03-28,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,44049.0,174.0
566275,2019-03-28,San Diego Padres,San Francisco Giants,Petco Park,44655.0,138.0
566962,2019-03-28,Minnesota Twins,Cleveland Indians,Target Field,39519.0,138.0
567359,2019-03-28,Miami Marlins,Colorado Rockies,Marlins Park,25423.0,175.0
565702,2019-03-28,Kansas City Royals,Chicago White Sox,Kauffman Stadium,31675.0,192.0
566372,2019-03-28,Seattle Mariners,Boston Red Sox,T-Mobile Park,45600.0,214.0
566865,2019-03-29,Toronto Blue Jays,Detroit Tigers,Rogers Centre,18054.0,148.0
566665,2019-03-29,Tampa Bay Rays,Houston Astros,Tropicana Field,13059.0,158.0
567360,2019-03-29,Miami Marlins,Colorado Rockies,Marlins Park,6503.0,184.0
567553,2019-03-29,Milwaukee Brewers,St. Louis Cardinals,Miller Park,30157.0,221.0
566087,2019-03-29,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,22585.0,172.0
565800,2019-03-29,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,42266.0,365.0
566373,2019-03-29,Seattle Mariners,Boston Red Sox,T-Mobile Park,29002.0,200.0
566276,2019-03-29,San Diego Padres,San Francisco Giants,Petco Park,33769.0,187.0
565896,2019-03-30,Washington Nationals,New York Mets,Nationals Park,33765.0,230.0
567457,2019-03-30,New York Yankees,Baltimore Orioles,Yankee Stadium,42203.0,204.0
566963,2019-03-30,Minnesota Twins,Cleveland Indians,Target Field,15271.0,180.0
565703,2019-03-30,Kansas City Royals,Chicago White Sox,Kauffman Stadium,13533.0,196.0
566866,2019-03-30,Toronto Blue Jays,Detroit Tigers,Rogers Centre,25429.0,180.0
567060,2019-03-30,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,44597.0,207.0
566666,2019-03-30,Tampa Bay Rays,Houston Astros,Tropicana Field,16010.0,160.0
567361,2019-03-30,Miami Marlins,Colorado Rockies,Marlins Park,7642.0,180.0
567554,2019-03-30,Milwaukee Brewers,St. Louis Cardinals,Miller Park,36655.0,187.0
566764,2019-03-30,Texas Rangers,Chicago Cubs,Globe Life Park in Arlington,46238.0,227.0
566277,2019-03-30,San Diego Padres,San Francisco Giants,Petco Park,41899.0,190.0
566088,2019-03-30,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,16051.0,162.0
565801,2019-03-30,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,50626.0,194.0
566374,2019-03-30,Seattle Mariners,Boston Red Sox,T-Mobile Park,34933.0,190.0
565221,2019-03-30,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,27489.0,177.0
567458,2019-03-31,New York Yankees,Baltimore Orioles,Yankee Stadium,38419.0,228.0
566867,2019-03-31,Toronto Blue Jays,Detroit Tigers,Rogers Centre,16098.0,197.0
565222,2019-03-31,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,18737.0,195.0
566667,2019-03-31,Tampa Bay Rays,Houston Astros,Tropicana Field,18473.0,132.0
567362,2019-03-31,Miami Marlins,Colorado Rockies,Marlins Park,7559.0,152.0
565897,2019-03-31,Washington Nationals,New York Mets,Nationals Park,23430.0,195.0
566964,2019-03-31,Minnesota Twins,Cleveland Indians,Target Field,15613.0,159.0
567555,2019-03-31,Milwaukee Brewers,St. Louis Cardinals,Miller Park,35042.0,174.0
565704,2019-03-31,Kansas City Royals,Chicago White Sox,Kauffman Stadium,12669.0,177.0
566765,2019-03-31,Texas Rangers,Chicago Cubs,Globe Life Park in Arlington,36812.0,226.0
566089,2019-03-31,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,23265.0,160.0
565802,2019-03-31,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,43815.0,209.0
566375,2019-03-31,Seattle Mariners,Boston Red Sox,T-Mobile Park,33393.0,219.0
566278,2019-03-31,San Diego Padres,San Francisco Giants,Petco Park,38444.0,167.0
567061,2019-03-31,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,41410.0,197.0
566180,2019-04-01,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,37336.0,290.0
565316,2019-04-01,Cleveland Indians,Chicago White Sox,Progressive Field,34519.0,182.0
567459,2019-04-01,New York Yankees,Detroit Tigers,Yankee Stadium,32036.0,163.0
565223,2019-04-01,Cincinnati Reds,Milwaukee Brewers,Great American Ball Park,7799.0,211.0
566868,2019-04-01,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,10460.0,166.0
566668,2019-04-01,Tampa Bay Rays,Colorado Rockies,Tropicana Field,10860.0,174.0
567157,2019-04-01,Atlanta Braves,Chicago Cubs,SunTrust Park,41912.0,192.0
567363,2019-04-01,Miami Marlins,New York Mets,Marlins Park,6489.0,190.0
566766,2019-04-01,Texas Rangers,Houston Astros,Globe Life Park in Arlington,18056.0,159.0
566090,2019-04-01,Oakland Athletics,Boston Red Sox,Oakland Coliseum,12417.0,162.0
566279,2019-04-01,San Diego Padres,Arizona Diamondbacks,Petco Park,18683.0,184.0
566376,2019-04-01,Seattle Mariners,Los Angeles Angels,T-Mobile Park,14459.0,200.0
565803,2019-04-01,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,40477.0,179.0
567460,2019-04-02,New York Yankees,Detroit Tigers,Yankee Stadium,32018.0,161.0
565224,2019-04-02,Cincinnati Reds,Milwaukee Brewers,Great American Ball Park,10195.0,187.0
565898,2019-04-02,Washington Nationals,Philadelphia Phillies,Nationals Park,35920.0,210.0
566869,2019-04-02,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,12110.0,165.0
566669,2019-04-02,Tampa Bay Rays,Colorado Rockies,Tropicana Field,10933.0,170.0
567364,2019-04-02,Miami Marlins,New York Mets,Marlins Park,5934.0,203.0
566767,2019-04-02,Texas Rangers,Houston Astros,Globe Life Park in Arlington,17907.0,203.0
565705,2019-04-02,Kansas City Royals,Minnesota Twins,Kauffman Stadium,10024.0,210.0
566091,2019-04-02,Oakland Athletics,Boston Red Sox,Oakland Coliseum,12721.0,162.0
566280,2019-04-02,San Diego Padres,Arizona Diamondbacks,Petco Park,22504.0,201.0
566377,2019-04-02,Seattle Mariners,Los Angeles Angels,T-Mobile Park,13547.0,136.0
565804,2019-04-02,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,42887.0,170.0
565225,2019-04-03,Cincinnati Reds,Milwaukee Brewers,Great American Ball Park,13439.0,153.0
565899,2019-04-03,Washington Nationals,Philadelphia Phillies,Nationals Park,23050.0,233.0
566670,2019-04-03,Tampa Bay Rays,Colorado Rockies,Tropicana Field,11093.0,199.0
565317,2019-04-03,Cleveland Indians,Chicago White Sox,Progressive Field,10689.0,181.0
565706,2019-04-03,Kansas City Royals,Minnesota Twins,Kauffman Stadium,10575.0,212.0
566281,2019-04-03,San Diego Padres,Arizona Diamondbacks,Petco Park,19376.0,179.0
567461,2019-04-03,New York Yankees,Detroit Tigers,Yankee Stadium,33038.0,157.0
566870,2019-04-03,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,11436.0,162.0
567365,2019-04-03,Miami Marlins,New York Mets,Marlins Park,7486.0,187.0
566181,2019-04-03,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,23954.0,210.0
567158,2019-04-03,Atlanta Braves,Chicago Cubs,SunTrust Park,37398.0,212.0
566768,2019-04-03,Texas Rangers,Houston Astros,Globe Life Park in Arlington,22265.0,159.0
