Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
529407,2018-03-29,Miami Marlins,Chicago Cubs,Marlins Park,32151.0,198.0
529419,2018-03-29,New York Mets,St. Louis Cardinals,Citi Field,44189.0,181.0
529414,2018-03-29,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,45469.0,211.0
529411,2018-03-29,Texas Rangers,Houston Astros,Globe Life Park in Arlington,47253.0,179.0
529415,2018-03-29,Toronto Blue Jays,New York Yankees,Rogers Centre,48115.0,171.0
529406,2018-03-29,Tampa Bay Rays,Boston Red Sox,Tropicana Field,31042.0,180.0
529412,2018-03-29,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,27764.0,242.0
529416,2018-03-29,Atlanta Braves,Philadelphia Phillies,SunTrust Park,40208.0,208.0
529413,2018-03-29,San Diego Padres,Milwaukee Brewers,Petco Park,44649.0,216.0
529408,2018-03-29,Kansas City Royals,Chicago White Sox,Kauffman Stadium,36517.0,206.0
529418,2018-03-29,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,53595.0,175.0
529410,2018-03-29,Arizona Diamondbacks,Colorado Rockies,Chase Field,48703.0,216.0
529409,2018-03-29,Seattle Mariners,Cleveland Indians,Safeco Field,47149.0,155.0
529417,2018-03-29,Detroit Tigers,Pittsburgh Pirates,Comerica Park,42516.0,327.0
529420,2018-03-29,Cincinnati Reds,Washington Nationals,Great American Ball Park,43878.0,189.0
529417,2018-03-30,Detroit Tigers,Pittsburgh Pirates,Comerica Park,42516.0,327.0
529420,2018-03-30,Cincinnati Reds,Washington Nationals,Great American Ball Park,43878.0,189.0
529427,2018-03-30,Toronto Blue Jays,New York Yankees,Rogers Centre,33716.0,169.0
529421,2018-03-30,Tampa Bay Rays,Boston Red Sox,Tropicana Field,19203.0,166.0
529422,2018-03-30,Miami Marlins,Chicago Cubs,Marlins Park,12034.0,318.0
529428,2018-03-30,Atlanta Braves,Philadelphia Phillies,SunTrust Park,35123.0,256.0
529424,2018-03-30,Texas Rangers,Houston Astros,Globe Life Park in Arlington,35469.0,182.0
529423,2018-03-30,Arizona Diamondbacks,Colorado Rockies,Chase Field,23937.0,202.0
529425,2018-03-30,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,27665.0,168.0
529429,2018-03-30,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,53478.0,143.0
529426,2018-03-30,San Diego Padres,Milwaukee Brewers,Petco Park,31513.0,188.0
529443,2018-03-31,New York Mets,St. Louis Cardinals,Citi Field,36098.0,202.0
529444,2018-03-31,Cincinnati Reds,Washington Nationals,Great American Ball Park,27341.0,196.0
529436,2018-03-31,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,17012.0,203.0
529435,2018-03-31,Texas Rangers,Houston Astros,Globe Life Park in Arlington,36892.0,199.0
529439,2018-03-31,Toronto Blue Jays,New York Yankees,Rogers Centre,37692.0,157.0
529433,2018-03-31,Seattle Mariners,Cleveland Indians,Safeco Field,35881.0,167.0
529430,2018-03-31,Tampa Bay Rays,Boston Red Sox,Tropicana Field,17838.0,201.0
529438,2018-03-31,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,17763.0,170.0
529440,2018-03-31,Atlanta Braves,Philadelphia Phillies,SunTrust Park,37777.0,201.0
529431,2018-03-31,Miami Marlins,Chicago Cubs,Marlins Park,13422.0,237.0
529432,2018-03-31,Kansas City Royals,Chicago White Sox,Kauffman Stadium,17564.0,174.0
529434,2018-03-31,Arizona Diamondbacks,Colorado Rockies,Chase Field,33346.0,174.0
529437,2018-03-31,San Diego Padres,Milwaukee Brewers,Petco Park,35106.0,171.0
529442,2018-03-31,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,45938.0,163.0
529441,2018-03-31,Detroit Tigers,Pittsburgh Pirates,Comerica Park,18438.0,194.0
529451,2018-04-01,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,17212.0,155.0
529452,2018-04-01,Toronto Blue Jays,New York Yankees,Rogers Centre,29091.0,183.0
529453,2018-04-01,Detroit Tigers,Pittsburgh Pirates,Comerica Park,14858.0,150.0
529441,2018-04-01,Detroit Tigers,Pittsburgh Pirates,Comerica Park,18438.0,194.0
529455,2018-04-01,New York Mets,St. Louis Cardinals,Citi Field,22486.0,195.0
529445,2018-04-01,Tampa Bay Rays,Boston Red Sox,Tropicana Field,14256.0,204.0
529446,2018-04-01,Miami Marlins,Chicago Cubs,Marlins Park,10428.0,156.0
529449,2018-04-01,Texas Rangers,Houston Astros,Globe Life Park in Arlington,26758.0,193.0
529450,2018-04-01,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,14644.0,187.0
529456,2018-04-01,Cincinnati Reds,Washington Nationals,Great American Ball Park,10355.0,167.0
529448,2018-04-01,Seattle Mariners,Cleveland Indians,Safeco Field,24506.0,177.0
529454,2018-04-01,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,41866.0,167.0
529447,2018-04-01,Kansas City Royals,Chicago White Sox,Kauffman Stadium,16971.0,169.0
529465,2018-04-02,Pittsburgh Pirates,Minnesota Twins,PNC Park,30186.0,206.0
529463,2018-04-02,Detroit Tigers,Kansas City Royals,Comerica Park,15476.0,166.0
529467,2018-04-02,Milwaukee Brewers,St. Louis Cardinals,Miller Park,45393.0,179.0
529459,2018-04-02,Cincinnati Reds,Chicago Cubs,Great American Ball Park,18963.0,153.0
529460,2018-04-02,Toronto Blue Jays,Chicago White Sox,Rogers Centre,16629.0,171.0
529457,2018-04-02,Houston Astros,Baltimore Orioles,Minute Maid Park,42675.0,172.0
529458,2018-04-02,Miami Marlins,Boston Red Sox,Marlins Park,11113.0,189.0
529470,2018-04-02,Atlanta Braves,Washington Nationals,SunTrust Park,25054.0,175.0
529464,2018-04-02,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,21735.0,346.0
529469,2018-04-02,Oakland Athletics,Texas Rangers,Oakland Coliseum,7416.0,190.0
529461,2018-04-02,Los Angeles Angels,Cleveland Indians,Angel Stadium,43904.0,205.0
529462,2018-04-02,San Diego Padres,Colorado Rockies,Petco Park,16899.0,191.0
529468,2018-04-02,New York Yankees,Tampa Bay Rays,Yankee Stadium,46776.0,209.0
529466,2018-04-02,New York Mets,Philadelphia Phillies,Citi Field,24139.0,161.0
529477,2018-04-03,Detroit Tigers,Kansas City Royals,Comerica Park,15083.0,137.0
529468,2018-04-03,New York Yankees,Tampa Bay Rays,Yankee Stadium,46776.0,209.0
529480,2018-04-03,San Francisco Giants,Seattle Mariners,AT&T Park,40901.0,182.0
529472,2018-04-03,Miami Marlins,Boston Red Sox,Marlins Park,14953.0,267.0
529474,2018-04-03,Toronto Blue Jays,Chicago White Sox,Rogers Centre,17451.0,207.0
529479,2018-04-03,New York Mets,Philadelphia Phillies,Citi Field,21397.0,171.0
529483,2018-04-03,Atlanta Braves,Washington Nationals,SunTrust Park,26782.0,190.0
529481,2018-04-03,Milwaukee Brewers,St. Louis Cardinals,Miller Park,27760.0,191.0
529471,2018-04-03,Houston Astros,Baltimore Orioles,Minute Maid Park,40081.0,199.0
529478,2018-04-03,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,27574.0,168.0
529482,2018-04-03,Oakland Athletics,Texas Rangers,Oakland Coliseum,9157.0,170.0
529475,2018-04-03,Los Angeles Angels,Cleveland Indians,Angel Stadium,35007.0,169.0
529476,2018-04-03,San Diego Padres,Colorado Rockies,Petco Park,19283.0,167.0
529473,2018-04-03,Cincinnati Reds,Chicago Cubs,Great American Ball Park,19046.0,218.0
529496,2018-04-04,Atlanta Braves,Washington Nationals,SunTrust Park,29834.0,186.0
529494,2018-04-04,New York Yankees,Tampa Bay Rays,Yankee Stadium,40028.0,164.0
529491,2018-04-04,New York Mets,Philadelphia Phillies,Citi Field,21328.0,185.0
529484,2018-04-04,Houston Astros,Baltimore Orioles,Minute Maid Park,27698.0,162.0
529489,2018-04-04,Arizona Diamondbacks,Los Angeles Dodgers,Chase Field,25754.0,145.0
529486,2018-04-04,Los Angeles Angels,Cleveland Indians,Angel Stadium,32412.0,268.0
529490,2018-04-04,Pittsburgh Pirates,Minnesota Twins,PNC Park,20690.0,205.0
529485,2018-04-04,Toronto Blue Jays,Chicago White Sox,Rogers Centre,17268.0,176.0
529492,2018-04-04,San Francisco Giants,Seattle Mariners,AT&T Park,42582.0,172.0
529493,2018-04-04,Milwaukee Brewers,St. Louis Cardinals,Miller Park,27674.0,168.0
529495,2018-04-04,Oakland Athletics,Texas Rangers,Oakland Coliseum,7908.0,143.0
529487,2018-04-04,San Diego Padres,Colorado Rockies,Petco Park,19698.0,161.0
529488,2018-04-04,Detroit Tigers,Kansas City Royals,Comerica Park,15406.0,166.0
529504,2018-04-05,Washington Nationals,New York Mets,Nationals Park,42477.0,177.0
529506,2018-04-05,Boston Red Sox,Tampa Bay Rays,Fenway Park,36134.0,235.0
529503,2018-04-05,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,44488.0,183.0
529507,2018-04-05,Oakland Athletics,Texas Rangers,Oakland Coliseum,10132.0,190.0
529501,2018-04-05,San Diego Padres,Colorado Rockies,Petco Park,20509.0,178.0
529505,2018-04-05,Minnesota Twins,Seattle Mariners,Target Field,39214.0,189.0
529502,2018-04-05,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,33318.0,243.0
529498,2018-04-05,New York Yankees,Baltimore Orioles,Yankee Stadium,33653.0,195.0
