Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
413661,2015-04-05,Chicago Cubs,St. Louis Cardinals,Wrigley Field,35055.0,184.0
413663,2015-04-06,New York Yankees,Toronto Blue Jays,Yankee Stadium,48469.0,179.0
413656,2015-04-06,Detroit Tigers,Minnesota Twins,Comerica Park,45030.0,150.0
413655,2015-04-06,Milwaukee Brewers,Colorado Rockies,Miller Park,46032.0,180.0
413652,2015-04-06,Philadelphia Phillies,Boston Red Sox,Citizens Bank Park,45549.0,181.0
413651,2015-04-06,Tampa Bay Rays,Baltimore Orioles,Tropicana Field,31042.0,181.0
413657,2015-04-06,Washington Nationals,New York Mets,Nationals Park,42295.0,155.0
413658,2015-04-06,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,43633.0,150.0
413659,2015-04-06,Los Angeles Dodgers,San Diego Padres,Dodger Stadium,53518.0,184.0
413649,2015-04-06,Seattle Mariners,Los Angeles Angels,Safeco Field,45909.0,153.0
413653,2015-04-06,Kansas City Royals,Chicago White Sox,Kauffman Stadium,40085.0,170.0
413650,2015-04-06,Miami Marlins,Atlanta Braves,Marlins Park,36969.0,156.0
413654,2015-04-06,Houston Astros,Cleveland Indians,Minute Maid Park,43753.0,150.0
413662,2015-04-06,Oakland Athletics,Texas Rangers,O.co Coliseum,36067.0,165.0
413660,2015-04-06,Arizona Diamondbacks,San Francisco Giants,Chase Field,49043.0,198.0
413666,2015-04-07,Tampa Bay Rays,Baltimore Orioles,Tropicana Field,13906.0,202.0
413665,2015-04-07,Miami Marlins,Atlanta Braves,Marlins Park,17483.0,194.0
413667,2015-04-07,Milwaukee Brewers,Colorado Rockies,Miller Park,30222.0,168.0
413669,2015-04-07,Arizona Diamondbacks,San Francisco Giants,Chase Field,22626.0,190.0
413670,2015-04-07,Oakland Athletics,Texas Rangers,O.co Coliseum,15025.0,150.0
413668,2015-04-07,Los Angeles Dodgers,San Diego Padres,Dodger Stadium,40356.0,211.0
413664,2015-04-07,Seattle Mariners,Los Angeles Angels,Safeco Field,26545.0,133.0
413683,2015-04-07,Chicago Cubs,St. Louis Cardinals,Wrigley Field,34368.0,190.0
413678,2015-04-08,Detroit Tigers,Minnesota Twins,Comerica Park,28280.0,186.0
413693,2015-04-08,Chicago Cubs,St. Louis Cardinals,Wrigley Field,26814.0,143.0
413679,2015-04-08,Washington Nationals,New York Mets,Nationals Park,25999.0,141.0
413674,2015-04-08,Philadelphia Phillies,Boston Red Sox,Citizens Bank Park,26465.0,174.0
413685,2015-04-08,New York Yankees,Toronto Blue Jays,Yankee Stadium,31020.0,176.0
413680,2015-04-08,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,30859.0,241.0
413673,2015-04-08,Tampa Bay Rays,Baltimore Orioles,Tropicana Field,13569.0,180.0
413672,2015-04-08,Miami Marlins,Atlanta Braves,Marlins Park,16127.0,165.0
413676,2015-04-08,Houston Astros,Cleveland Indians,Minute Maid Park,23078.0,160.0
413675,2015-04-08,Kansas City Royals,Chicago White Sox,Kauffman Stadium,23385.0,191.0
