Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
346787,2013-03-31,Houston Astros,Texas Rangers,Minute Maid Park,41307.0,180.0
346187,2013-04-01,Washington Nationals,Miami Marlins,Nationals Park,45274.0,130.0
346755,2013-04-01,New York Yankees,Boston Red Sox,Yankee Stadium,49514.0,217.0
346189,2013-04-01,New York Mets,San Diego Padres,Citi Field,41053.0,181.0
346184,2013-04-01,Pittsburgh Pirates,Chicago Cubs,PNC Park,39078.0,179.0
346752,2013-04-01,Milwaukee Brewers,Colorado Rockies,Miller Park,45781.0,193.0
346183,2013-04-01,Cincinnati Reds,Los Angeles Angels,Great American Ball Park,43168.0,285.0
346753,2013-04-01,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,53136.0,145.0
346185,2013-04-01,Minnesota Twins,Detroit Tigers,Target Field,38282.0,208.0
346186,2013-04-01,Chicago White Sox,Kansas City Royals,U.S. Cellular Field,39012.0,158.0
346188,2013-04-01,Atlanta Braves,Philadelphia Phillies,Turner Field,51456.0,176.0
346190,2013-04-01,Oakland Athletics,Seattle Mariners,O.co Coliseum,36067.0,166.0
346191,2013-04-01,Arizona Diamondbacks,St. Louis Cardinals,Chase Field,48023.0,166.0
346754,2013-04-02,Tampa Bay Rays,Baltimore Orioles,Tropicana Field,34078.0,177.0
346760,2013-04-02,Toronto Blue Jays,Cleveland Indians,Rogers Centre,48857.0,151.0
346758,2013-04-02,Houston Astros,Texas Rangers,Minute Maid Park,22701.0,174.0
346759,2013-04-02,Milwaukee Brewers,Colorado Rockies,Miller Park,24753.0,202.0
346757,2013-04-02,Arizona Diamondbacks,St. Louis Cardinals,Chase Field,28356.0,177.0
346756,2013-04-02,Oakland Athletics,Seattle Mariners,O.co Coliseum,15315.0,196.0
346761,2013-04-02,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,45431.0,164.0
346773,2013-04-03,Houston Astros,Texas Rangers,Minute Maid Park,15814.0,179.0
346767,2013-04-03,Chicago White Sox,Kansas City Royals,U.S. Cellular Field,14213.0,166.0
346766,2013-04-03,Minnesota Twins,Detroit Tigers,Target Field,22963.0,181.0
346765,2013-04-03,Pittsburgh Pirates,Chicago Cubs,PNC Park,27667.0,175.0
346768,2013-04-03,Washington Nationals,Miami Marlins,Nationals Park,26269.0,152.0
346764,2013-04-03,New York Yankees,Boston Red Sox,Yankee Stadium,40216.0,215.0
346774,2013-04-03,Toronto Blue Jays,Cleveland Indians,Rogers Centre,24619.0,203.0
346762,2013-04-03,Cincinnati Reds,Los Angeles Angels,Great American Ball Park,35257.0,186.0
346770,2013-04-03,New York Mets,San Diego Padres,Citi Field,22239.0,156.0
346763,2013-04-03,Tampa Bay Rays,Baltimore Orioles,Tropicana Field,15599.0,176.0
346769,2013-04-03,Atlanta Braves,Philadelphia Phillies,Turner Field,24289.0,198.0
346775,2013-04-03,Milwaukee Brewers,Colorado Rockies,Miller Park,25766.0,211.0
346772,2013-04-03,Arizona Diamondbacks,St. Louis Cardinals,Chase Field,26891.0,332.0
346771,2013-04-03,Oakland Athletics,Seattle Mariners,O.co Coliseum,15162.0,170.0
346776,2013-04-03,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,52906.0,184.0
346777,2013-04-04,Cincinnati Reds,Los Angeles Angels,Great American Ball Park,23795.0,171.0
346780,2013-04-04,Pittsburgh Pirates,Chicago Cubs,PNC Park,11634.0,161.0
346785,2013-04-04,New York Mets,San Diego Padres,Citi Field,21519.0,197.0
346781,2013-04-04,Minnesota Twins,Detroit Tigers,Target Field,24752.0,212.0
346782,2013-04-04,Chicago White Sox,Kansas City Royals,U.S. Cellular Field,15036.0,165.0
346778,2013-04-04,Tampa Bay Rays,Baltimore Orioles,Tropicana Field,17491.0,182.0
346786,2013-04-04,Oakland Athletics,Seattle Mariners,O.co Coliseum,12134.0,152.0
346783,2013-04-04,Washington Nationals,Miami Marlins,Nationals Park,25123.0,154.0
346779,2013-04-04,New York Yankees,Boston Red Sox,Yankee Stadium,40611.0,158.0
346788,2013-04-04,Toronto Blue Jays,Cleveland Indians,Rogers Centre,19515.0,169.0
346784,2013-04-04,Atlanta Braves,Philadelphia Phillies,Turner Field,18295.0,153.0
346794,2013-04-05,Detroit Tigers,New York Yankees,Comerica Park,45051.0,178.0
346789,2013-04-05,Texas Rangers,Los Angeles Angels,Rangers Ballpark in Arlington,48845.0,166.0
346793,2013-04-05,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,46653.0,211.0
346800,2013-04-05,Philadelphia Phillies,Kansas City Royals,Citizens Bank Park,45307.0,189.0
346796,2013-04-05,Colorado Rockies,San Diego Padres,Coors Field,49077.0,165.0
346798,2013-04-05,San Francisco Giants,St. Louis Cardinals,AT&T Park,41581.0,151.0
346801,2013-04-05,Toronto Blue Jays,Boston Red Sox,Rogers Centre,45328.0,215.0
346799,2013-04-05,Cincinnati Reds,Washington Nationals,Great American Ball Park,28102.0,188.0
346791,2013-04-05,Tampa Bay Rays,Cleveland Indians,Tropicana Field,16019.0,141.0
