Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
630851,2020-07-23,Washington Nationals,New York Yankees,Nationals Park,,
631377,2020-07-23,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,,
631242,2020-07-24,New York Mets,Atlanta Braves,Citi Field,,
631589,2020-07-24,Cincinnati Reds,Detroit Tigers,Great American Ball Park,,
630966,2020-07-24,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,,
631121,2020-07-24,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,,
631563,2020-07-24,Cleveland Indians,Kansas City Royals,Progressive Field,,
631641,2020-07-24,Chicago Cubs,Milwaukee Brewers,Wrigley Field,,
631664,2020-07-24,Boston Red Sox,Baltimore Orioles,Fenway Park,,
630941,2020-07-24,Texas Rangers,Colorado Rockies,Globe Life Field,,
631514,2020-07-24,Chicago White Sox,Minnesota Twins,Guaranteed Rate Field,,
630989,2020-07-24,St. Louis Cardinals,Pittsburgh Pirates,Busch Stadium,,
631091,2020-07-24,San Diego Padres,Arizona Diamondbacks,Petco Park,,
631438,2020-07-24,Houston Astros,Seattle Mariners,Minute Maid Park,,
631378,2020-07-24,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,,
631182,2020-07-24,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,,
631642,2020-07-25,Chicago Cubs,Milwaukee Brewers,Wrigley Field,,
631666,2020-07-25,Boston Red Sox,Baltimore Orioles,Fenway Park,,
631515,2020-07-25,Chicago White Sox,Minnesota Twins,Guaranteed Rate Field,,
630992,2020-07-25,St. Louis Cardinals,Pittsburgh Pirates,Busch Stadium,,
630967,2020-07-25,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,,
630942,2020-07-25,Texas Rangers,Colorado Rockies,Globe Life Field,,
631108,2020-07-25,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,,
631181,2020-07-25,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,,
631453,2020-07-25,Houston Astros,Seattle Mariners,Minute Maid Park,,
631382,2020-07-25,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,,
631241,2020-07-25,New York Mets,Atlanta Braves,Citi Field,,
631603,2020-07-25,Cincinnati Reds,Detroit Tigers,Great American Ball Park,,
631565,2020-07-25,Cleveland Indians,Kansas City Royals,Progressive Field,,
