Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
718780,2023-03-30,Washington Nationals,Atlanta Braves,Nationals Park,35756.0,187.0
718781,2023-03-30,New York Yankees,San Francisco Giants,Yankee Stadium,46172.0,153.0
718782,2023-03-30,Boston Red Sox,Baltimore Orioles,Fenway Park,36049.0,190.0
718777,2023-03-30,Chicago Cubs,Milwaukee Brewers,Wrigley Field,36054.0,141.0
718776,2023-03-30,Tampa Bay Rays,Detroit Tigers,Tropicana Field,25025.0,134.0
718779,2023-03-30,Texas Rangers,Philadelphia Phillies,Globe Life Field,38387.0,184.0
718773,2023-03-30,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,44063.0,182.0
718772,2023-03-30,St. Louis Cardinals,Toronto Blue Jays,Busch Stadium,47649.0,218.0
718775,2023-03-30,Kansas City Royals,Minnesota Twins,Kauffman Stadium,38351.0,152.0
718774,2023-03-30,Miami Marlins,New York Mets,loanDepot park,31397.0,162.0
718768,2023-03-30,Houston Astros,Chicago White Sox,Minute Maid Park,43032.0,158.0
718778,2023-03-30,San Diego Padres,Colorado Rockies,Petco Park,45103.0,176.0
718769,2023-03-30,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,26805.0,150.0
718770,2023-03-30,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,52075.0,155.0
718767,2023-03-30,Seattle Mariners,Cleveland Guardians,T-Mobile Park,45268.0,134.0
718771,2023-03-31,Miami Marlins,New York Mets,loanDepot park,14797.0,129.0
718764,2023-03-31,Houston Astros,Chicago White Sox,Minute Maid Park,41453.0,160.0
718766,2023-03-31,San Diego Padres,Colorado Rockies,Petco Park,43177.0,147.0
718765,2023-03-31,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,45389.0,161.0
718763,2023-03-31,Seattle Mariners,Cleveland Guardians,T-Mobile Park,31516.0,185.0
718760,2023-04-01,Houston Astros,Chicago White Sox,Minute Maid Park,37519.0,191.0
718759,2023-04-01,St. Louis Cardinals,Toronto Blue Jays,Busch Stadium,44461.0,151.0
718758,2023-04-01,Chicago Cubs,Milwaukee Brewers,Wrigley Field,31363.0,152.0
718752,2023-04-01,Texas Rangers,Philadelphia Phillies,Globe Life Field,31916.0,190.0
718753,2023-04-01,Washington Nationals,Atlanta Braves,Nationals Park,27529.0,141.0
718762,2023-04-01,New York Yankees,San Francisco Giants,Yankee Stadium,41642.0,192.0
718757,2023-04-01,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,15757.0,144.0
718761,2023-04-01,Boston Red Sox,Baltimore Orioles,Fenway Park,29062.0,184.0
718756,2023-04-01,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,22224.0,136.0
718754,2023-04-01,Tampa Bay Rays,Detroit Tigers,Tropicana Field,20204.0,168.0
718751,2023-04-01,Kansas City Royals,Minnesota Twins,Kauffman Stadium,16633.0,138.0
718755,2023-04-01,Miami Marlins,New York Mets,loanDepot park,14695.0,174.0
718750,2023-04-01,San Diego Padres,Colorado Rockies,Petco Park,42663.0,160.0
718749,2023-04-01,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,48886.0,134.0
718746,2023-04-01,Seattle Mariners,Cleveland Guardians,T-Mobile Park,44250.0,124.0
718742,2023-04-02,Tampa Bay Rays,Detroit Tigers,Tropicana Field,19425.0,130.0
718748,2023-04-02,Boston Red Sox,Baltimore Orioles,Fenway Park,27886.0,164.0
718743,2023-04-02,Washington Nationals,Atlanta Braves,Nationals Park,21440.0,137.0
718747,2023-04-02,New York Yankees,San Francisco Giants,Yankee Stadium,42053.0,147.0
718744,2023-04-02,Cincinnati Reds,Pittsburgh Pirates,Great American Ball Park,14421.0,144.0
718741,2023-04-02,Miami Marlins,New York Mets,loanDepot park,18322.0,160.0
718745,2023-04-02,Kansas City Royals,Minnesota Twins,Kauffman Stadium,14589.0,155.0
718740,2023-04-02,Houston Astros,Chicago White Sox,Minute Maid Park,42835.0,186.0
718737,2023-04-02,St. Louis Cardinals,Toronto Blue Jays,Busch Stadium,45525.0,149.0
718738,2023-04-02,Chicago Cubs,Milwaukee Brewers,Wrigley Field,33266.0,177.0
718734,2023-04-02,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,14638.0,152.0
718736,2023-04-02,Los Angeles Dodgers,Arizona Diamondbacks,Dodger Stadium,46549.0,152.0
718733,2023-04-02,San Diego Padres,Colorado Rockies,Petco Park,43972.0,123.0
718735,2023-04-02,Seattle Mariners,Cleveland Guardians,T-Mobile Park,34045.0,177.0
718739,2023-04-02,Texas Rangers,Philadelphia Phillies,Globe Life Field,25823.0,144.0
718731,2023-04-03,Milwaukee Brewers,New York Mets,American Family Field,42017.0,157.0
718730,2023-04-03,Chicago White Sox,San Francisco Giants,Guaranteed Rate Field,34784.0,156.0
718728,2023-04-03,Cincinnati Reds,Chicago Cubs,Great American Ball Park,11941.0,155.0
718729,2023-04-03,Miami Marlins,Minnesota Twins,loanDepot park,8898.0,151.0
718732,2023-04-03,Washington Nationals,Tampa Bay Rays,Nationals Park,10754.0,145.0
718725,2023-04-03,New York Yankees,Philadelphia Phillies,Yankee Stadium,37202.0,161.0
718724,2023-04-03,Boston Red Sox,Pittsburgh Pirates,Fenway Park,28369.0,177.0
