Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
380537,2014-03-22,Arizona Diamondbacks,Los Angeles Dodgers,Sydney Cricket Ground,38266.0,169.0
380538,2014-03-22,Arizona Diamondbacks,Los Angeles Dodgers,Sydney Cricket Ground,38079.0,241.0
380538,2014-03-23,Arizona Diamondbacks,Los Angeles Dodgers,Sydney Cricket Ground,38079.0,241.0
380546,2014-03-30,San Diego Padres,Los Angeles Dodgers,Petco Park,45567.0,169.0
380542,2014-03-31,Pittsburgh Pirates,Chicago Cubs,PNC Park,39833.0,196.0
380545,2014-03-31,Detroit Tigers,Kansas City Royals,Comerica Park,45068.0,181.0
380553,2014-03-31,New York Mets,Washington Nationals,Citi Field,42442.0,227.0
380548,2014-03-31,Texas Rangers,Philadelphia Phillies,Globe Life Park in Arlington,49031.0,216.0
380540,2014-03-31,Milwaukee Brewers,Atlanta Braves,Miller Park,45691.0,165.0
380541,2014-03-31,Baltimore Orioles,Boston Red Sox,Oriole Park at Camden Yards,46685.0,173.0
380551,2014-03-31,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,43134.0,176.0
380552,2014-03-31,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,31042.0,184.0
380547,2014-03-31,Chicago White Sox,Minnesota Twins,U.S. Cellular Field,37422.0,155.0
380544,2014-03-31,Miami Marlins,Colorado Rockies,Marlins Park,37116.0,178.0
380550,2014-03-31,Arizona Diamondbacks,San Francisco Giants,Chase Field,48541.0,205.0
380543,2014-03-31,Oakland Athletics,Cleveland Indians,O.co Coliseum,36067.0,195.0
380549,2014-03-31,Los Angeles Angels,Seattle Mariners,Angel Stadium of Anaheim,44152.0,197.0
380557,2014-04-01,San Diego Padres,Los Angeles Dodgers,Petco Park,35033.0,218.0
380562,2014-04-01,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,11113.0,212.0
380556,2014-04-01,Miami Marlins,Colorado Rockies,Marlins Park,15906.0,144.0
380558,2014-04-01,Houston Astros,New York Yankees,Minute Maid Park,42117.0,171.0
380559,2014-04-01,Texas Rangers,Philadelphia Phillies,Globe Life Park in Arlington,29530.0,194.0
380554,2014-04-01,Milwaukee Brewers,Atlanta Braves,Miller Park,21503.0,154.0
380561,2014-04-01,Arizona Diamondbacks,San Francisco Giants,Chase Field,18974.0,166.0
380560,2014-04-01,Los Angeles Angels,Seattle Mariners,Angel Stadium of Anaheim,43567.0,185.0
380555,2014-04-01,Oakland Athletics,Cleveland Indians,O.co Coliseum,12198.0,213.0
380568,2014-04-02,Detroit Tigers,Kansas City Royals,Comerica Park,26906.0,202.0
380563,2014-04-02,Milwaukee Brewers,Atlanta Braves,Miller Park,21712.0,156.0
380570,2014-04-02,Chicago White Sox,Minnesota Twins,U.S. Cellular Field,10625.0,259.0
380566,2014-04-02,Oakland Athletics,Cleveland Indians,O.co Coliseum,15134.0,185.0
380555,2014-04-02,Oakland Athletics,Cleveland Indians,O.co Coliseum,12198.0,213.0
380564,2014-04-02,Baltimore Orioles,Boston Red Sox,Oriole Park at Camden Yards,25708.0,163.0
380565,2014-04-02,Pittsburgh Pirates,Chicago Cubs,PNC Park,29762.0,355.0
380577,2014-04-02,New York Mets,Washington Nationals,Citi Field,29146.0,180.0
380575,2014-04-02,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,36189.0,165.0
380576,2014-04-02,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,10808.0,175.0
380567,2014-04-02,Miami Marlins,Colorado Rockies,Marlins Park,15866.0,203.0
380572,2014-04-02,Texas Rangers,Philadelphia Phillies,Globe Life Park in Arlington,28218.0,182.0
380571,2014-04-02,Houston Astros,New York Yankees,Minute Maid Park,23145.0,198.0
380574,2014-04-02,Arizona Diamondbacks,San Francisco Giants,Chase Field,19357.0,169.0
380573,2014-04-02,Los Angeles Angels,Seattle Mariners,Angel Stadium of Anaheim,38007.0,159.0
380569,2014-04-02,San Diego Padres,Los Angeles Dodgers,Petco Park,27498.0,182.0
380579,2014-04-03,Pittsburgh Pirates,Chicago Cubs,PNC Park,11418.0,159.0
380586,2014-04-03,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,16857.0,221.0
380580,2014-04-03,Miami Marlins,Colorado Rockies,Marlins Park,15378.0,194.0
380588,2014-04-03,New York Mets,Washington Nationals,Citi Field,20561.0,201.0
380582,2014-04-03,Chicago White Sox,Minnesota Twins,U.S. Cellular Field,11056.0,222.0
380585,2014-04-03,Arizona Diamondbacks,San Francisco Giants,Chase Field,19131.0,191.0
380578,2014-04-03,Baltimore Orioles,Boston Red Sox,Oriole Park at Camden Yards,20880.0,175.0
380587,2014-04-03,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,9571.0,201.0
380583,2014-04-03,Houston Astros,New York Yankees,Minute Maid Park,26348.0,197.0
380584,2014-04-03,Oakland Athletics,Seattle Mariners,O.co Coliseum,11236.0,242.0
380581,2014-04-03,Detroit Tigers,Kansas City Royals,Comerica Park,35715.0,147.0
380591,2014-04-04,Washington Nationals,Atlanta Braves,Nationals Park,42834.0,183.0
380592,2014-04-04,Detroit Tigers,Baltimore Orioles,Comerica Park,23625.0,187.0
380595,2014-04-04,Boston Red Sox,Milwaukee Brewers,Fenway Park,36728.0,199.0
380598,2014-04-04,Chicago Cubs,Philadelphia Phillies,Wrigley Field,38283.0,196.0
380596,2014-04-04,Cleveland Indians,Minnesota Twins,Progressive Field,41274.0,181.0
380590,2014-04-04,Colorado Rockies,Arizona Diamondbacks,Coors Field,49130.0,193.0
380601,2014-04-04,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,53493.0,205.0
380593,2014-04-04,Kansas City Royals,Chicago White Sox,Kauffman Stadium,40103.0,217.0
380602,2014-04-04,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,23342.0,187.0
380597,2014-04-04,Toronto Blue Jays,New York Yankees,Rogers Centre,48197.0,206.0
380594,2014-04-04,New York Mets,Cincinnati Reds,Citi Field,35845.0,179.0
380603,2014-04-04,Tampa Bay Rays,Texas Rangers,Tropicana Field,14304.0,190.0
380599,2014-04-04,Miami Marlins,San Diego Padres,Marlins Park,17783.0,157.0
380589,2014-04-04,Houston Astros,Los Angeles Angels,Minute Maid Park,15611.0,215.0
380600,2014-04-04,Oakland Athletics,Seattle Mariners,O.co Coliseum,17337.0,141.0
380611,2014-04-05,Cleveland Indians,Minnesota Twins,Progressive Field,14153.0,170.0
380612,2014-04-05,Toronto Blue Jays,New York Yankees,Rogers Centre,45446.0,165.0
380607,2014-04-05,Detroit Tigers,Baltimore Orioles,Comerica Park,32041.0,200.0
380609,2014-04-05,New York Mets,Cincinnati Reds,Citi Field,25424.0,168.0
380608,2014-04-05,Kansas City Royals,Chicago White Sox,Kauffman Stadium,21463.0,179.0
380613,2014-04-05,Chicago Cubs,Philadelphia Phillies,Wrigley Field,30651.0,173.0
380615,2014-04-05,Oakland Athletics,Seattle Mariners,O.co Coliseum,30290.0,142.0
380616,2014-04-05,Los Angeles Dodgers,San Francisco Giants,Dodger Stadium,49520.0,222.0
380617,2014-04-05,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,30092.0,178.0
380606,2014-04-05,Washington Nationals,Atlanta Braves,Nationals Park,37841.0,216.0
380604,2014-04-05,Houston Astros,Los Angeles Angels,Minute Maid Park,28515.0,182.0
380618,2014-04-05,Tampa Bay Rays,Texas Rangers,Tropicana Field,30364.0,168.0
380614,2014-04-05,Miami Marlins,San Diego Padres,Marlins Park,35188.0,169.0
380610,2014-04-05,Boston Red Sox,Milwaukee Brewers,Fenway Park,35729.0,263.0
380605,2014-04-05,Colorado Rockies,Arizona Diamondbacks,Coors Field,33078.0,189.0
380626,2014-04-06,Cleveland Indians,Minnesota Twins,Progressive Field,13104.0,235.0
380627,2014-04-06,Toronto Blue Jays,New York Yankees,Rogers Centre,34067.0,177.0
380622,2014-04-06,Detroit Tigers,Baltimore Orioles,Comerica Park,34261.0,154.0
380624,2014-04-06,New York Mets,Cincinnati Reds,Citi Field,26928.0,155.0
380629,2014-04-06,Miami Marlins,San Diego Padres,Marlins Park,22496.0,164.0
380632,2014-04-06,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,25704.0,149.0
380621,2014-04-06,Washington Nationals,Atlanta Braves,Nationals Park,34327.0,164.0
380625,2014-04-06,Boston Red Sox,Milwaukee Brewers,Fenway Park,35958.0,177.0
380633,2014-04-06,Tampa Bay Rays,Texas Rangers,Tropicana Field,22569.0,181.0
380619,2014-04-06,Houston Astros,Los Angeles Angels,Minute Maid Park,14786.0,172.0
380623,2014-04-06,Kansas City Royals,Chicago White Sox,Kauffman Stadium,29760.0,169.0
