Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
317775,2012-03-28,Oakland Athletics,Seattle Mariners,Tokyo Dome,44227.0,184.0
318969,2012-03-29,Oakland Athletics,Seattle Mariners,Tokyo Dome,43391.0,143.0
317733,2012-04-04,Miami Marlins,St. Louis Cardinals,Marlins Park,36601.0,162.0
317735,2012-04-05,Detroit Tigers,Boston Red Sox,Comerica Park,45027.0,187.0
317734,2012-04-05,New York Mets,Atlanta Braves,Citi Field,42080.0,159.0
317746,2012-04-05,Pittsburgh Pirates,Philadelphia Phillies,PNC Park,39585.0,134.0
317739,2012-04-05,Chicago Cubs,Washington Nationals,Wrigley Field,41176.0,155.0
317738,2012-04-05,Cleveland Indians,Toronto Blue Jays,Progressive Field,43190.0,314.0
317742,2012-04-05,Cincinnati Reds,Miami Marlins,Great American Ball Park,42956.0,164.0
317736,2012-04-05,San Diego Padres,Los Angeles Dodgers,Petco Park,42941.0,176.0
317740,2012-04-06,Texas Rangers,Chicago White Sox,Rangers Ballpark in Arlington,49085.0,144.0
317737,2012-04-06,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,46773.0,158.0
317745,2012-04-06,Tampa Bay Rays,New York Yankees,Tropicana Field,34078.0,224.0
317749,2012-04-06,Milwaukee Brewers,St. Louis Cardinals,Miller Park,46086.0,188.0
317741,2012-04-06,Houston Astros,Colorado Rockies,Minute Maid Park,43464.0,191.0
317748,2012-04-06,Arizona Diamondbacks,San Francisco Giants,Chase Field,49130.0,173.0
317743,2012-04-06,Los Angeles Angels,Kansas City Royals,Angel Stadium of Anaheim,44106.0,142.0
317744,2012-04-06,San Diego Padres,Los Angeles Dodgers,Petco Park,32490.0,151.0
317747,2012-04-06,Oakland Athletics,Seattle Mariners,Oakland Coliseum,35067.0,186.0
317764,2012-04-07,Chicago Cubs,Washington Nationals,Wrigley Field,40102.0,202.0
317763,2012-04-07,Cleveland Indians,Toronto Blue Jays,Progressive Field,18842.0,218.0
317750,2012-04-07,New York Mets,Atlanta Braves,Citi Field,39526.0,173.0
317751,2012-04-07,Detroit Tigers,Boston Red Sox,Comerica Park,44710.0,173.0
317755,2012-04-07,Los Angeles Angels,Kansas City Royals,Angel Stadium of Anaheim,40022.0,166.0
317761,2012-04-07,Arizona Diamondbacks,San Francisco Giants,Chase Field,34789.0,156.0
317762,2012-04-07,Milwaukee Brewers,St. Louis Cardinals,Miller Park,42084.0,171.0
317753,2012-04-07,Houston Astros,Colorado Rockies,Minute Maid Park,23962.0,151.0
317757,2012-04-07,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,31532.0,157.0
317759,2012-04-07,Pittsburgh Pirates,Philadelphia Phillies,PNC Park,38885.0,193.0
317754,2012-04-07,Cincinnati Reds,Miami Marlins,Great American Ball Park,41662.0,178.0
317758,2012-04-07,Tampa Bay Rays,New York Yankees,Tropicana Field,34078.0,200.0
317752,2012-04-07,Texas Rangers,Chicago White Sox,Rangers Ballpark in Arlington,47867.0,156.0
317756,2012-04-07,San Diego Padres,Los Angeles Dodgers,Petco Park,31909.0,236.0
317760,2012-04-07,Oakland Athletics,Seattle Mariners,Oakland Coliseum,16612.0,178.0
317766,2012-04-08,Detroit Tigers,Boston Red Sox,Comerica Park,30788.0,285.0
317778,2012-04-08,Cleveland Indians,Toronto Blue Jays,Progressive Field,10518.0,171.0
317765,2012-04-08,New York Mets,Atlanta Braves,Citi Field,27855.0,166.0
317769,2012-04-08,Cincinnati Reds,Miami Marlins,Great American Ball Park,23539.0,157.0
317772,2012-04-08,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,14738.0,134.0
317774,2012-04-08,Pittsburgh Pirates,Philadelphia Phillies,PNC Park,19856.0,180.0
317773,2012-04-08,Tampa Bay Rays,New York Yankees,Tropicana Field,30413.0,181.0
317768,2012-04-08,Houston Astros,Colorado Rockies,Minute Maid Park,14195.0,165.0
317777,2012-04-08,Milwaukee Brewers,St. Louis Cardinals,Miller Park,33211.0,188.0
317779,2012-04-08,Chicago Cubs,Washington Nationals,Wrigley Field,31973.0,142.0
317770,2012-04-08,Los Angeles Angels,Kansas City Royals,Angel Stadium of Anaheim,32227.0,195.0
317771,2012-04-08,San Diego Padres,Los Angeles Dodgers,Petco Park,19021.0,167.0
317776,2012-04-08,Arizona Diamondbacks,San Francisco Giants,Chase Field,24193.0,188.0
317767,2012-04-08,Texas Rangers,Chicago White Sox,Rangers Ballpark in Arlington,45368.0,170.0
317784,2012-04-09,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,45574.0,159.0
317789,2012-04-09,Colorado Rockies,San Francisco Giants,Coors Field,49282.0,172.0
317780,2012-04-09,Minnesota Twins,Los Angeles Angels,Target Field,39414.0,170.0
317783,2012-04-09,Cleveland Indians,Chicago White Sox,Progressive Field,9473.0,162.0
317787,2012-04-09,Baltimore Orioles,New York Yankees,Oriole Park at Camden Yards,25478.0,186.0
317786,2012-04-09,Chicago Cubs,Milwaukee Brewers,Wrigley Field,38136.0,202.0
317782,2012-04-09,Toronto Blue Jays,Boston Red Sox,Rogers Centre,48473.0,182.0
317791,2012-04-09,New York Mets,Washington Nationals,Citi Field,23970.0,198.0
317790,2012-04-09,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,16909.0,164.0
317788,2012-04-09,Texas Rangers,Seattle Mariners,Rangers Ballpark in Arlington,42003.0,192.0
317781,2012-04-09,Houston Astros,Atlanta Braves,Minute Maid Park,17095.0,166.0
317785,2012-04-09,Oakland Athletics,Kansas City Royals,Oakland Coliseum,10054.0,154.0
317802,2012-04-10,Detroit Tigers,Tampa Bay Rays,Comerica Park,22574.0,155.0
317799,2012-04-10,Los Angeles Dodgers,Pittsburgh Pirates,Dodger Stadium,56000.0,146.0
317798,2012-04-10,Baltimore Orioles,New York Yankees,Oriole Park at Camden Yards,24659.0,278.0
317794,2012-04-10,Toronto Blue Jays,Boston Red Sox,Rogers Centre,26351.0,199.0
317803,2012-04-10,New York Mets,Washington Nationals,Citi Field,26927.0,202.0
317801,2012-04-10,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,17110.0,153.0
317800,2012-04-10,Texas Rangers,Seattle Mariners,Rangers Ballpark in Arlington,25753.0,143.0
317793,2012-04-10,Houston Astros,Atlanta Braves,Minute Maid Park,22036.0,192.0
317797,2012-04-10,Chicago Cubs,Milwaukee Brewers,Wrigley Field,37265.0,199.0
317796,2012-04-10,Oakland Athletics,Kansas City Royals,Oakland Coliseum,10670.0,133.0
317792,2012-04-10,San Diego Padres,Arizona Diamondbacks,Petco Park,18652.0,208.0
317795,2012-04-10,Cleveland Indians,Chicago White Sox,Progressive Field,9196.0,170.0
317808,2012-04-11,Cleveland Indians,Chicago White Sox,Progressive Field,9072.0,184.0
317816,2012-04-11,Cincinnati Reds,St. Louis Cardinals,Great American Ball Park,20672.0,176.0
317807,2012-04-11,Toronto Blue Jays,Boston Red Sox,Rogers Centre,25285.0,133.0
317817,2012-04-11,Detroit Tigers,Tampa Bay Rays,Comerica Park,28180.0,168.0
317818,2012-04-11,New York Mets,Washington Nationals,Citi Field,34614.0,216.0
317811,2012-04-11,Chicago Cubs,Milwaukee Brewers,Wrigley Field,34044.0,179.0
317810,2012-04-11,Oakland Athletics,Kansas City Royals,Oakland Coliseum,12390.0,250.0
317805,2012-04-11,San Diego Padres,Arizona Diamondbacks,Petco Park,16091.0,178.0
317809,2012-04-11,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,45359.0,167.0
317812,2012-04-11,Baltimore Orioles,New York Yankees,Oriole Park at Camden Yards,22919.0,222.0
317814,2012-04-11,Texas Rangers,Seattle Mariners,Rangers Ballpark in Arlington,32342.0,200.0
317806,2012-04-11,Houston Astros,Atlanta Braves,Minute Maid Park,18225.0,201.0
317804,2012-04-11,Minnesota Twins,Los Angeles Angels,Target Field,31413.0,167.0
317815,2012-04-11,Colorado Rockies,San Francisco Giants,Coors Field,30337.0,223.0
317813,2012-04-11,Los Angeles Dodgers,Pittsburgh Pirates,Dodger Stadium,29729.0,167.0
317821,2012-04-12,Washington Nationals,Cincinnati Reds,Nationals Park,40907.0,192.0
317827,2012-04-12,Detroit Tigers,Tampa Bay Rays,Comerica Park,30288.0,203.0
317819,2012-04-12,Minnesota Twins,Los Angeles Angels,Target Field,31782.0,224.0
317825,2012-04-12,Texas Rangers,Seattle Mariners,Rangers Ballpark in Arlington,31513.0,153.0
317823,2012-04-12,Chicago Cubs,Milwaukee Brewers,Wrigley Field,36311.0,167.0
317826,2012-04-12,Colorado Rockies,San Francisco Giants,Coors Field,25860.0,200.0
317822,2012-04-12,Philadelphia Phillies,Miami Marlins,Citizens Bank Park,44751.0,140.0
317820,2012-04-12,San Diego Padres,Arizona Diamondbacks,Petco Park,20858.0,182.0
317824,2012-04-12,Los Angeles Dodgers,Pittsburgh Pirates,Dodger Stadium,28328.0,158.0
317828,2012-04-13,New York Yankees,Los Angeles Angels,Yankee Stadium,49386.0,153.0
317841,2012-04-13,Boston Red Sox,Tampa Bay Rays,Fenway Park,37032.0,199.0
317834,2012-04-13,Chicago White Sox,Detroit Tigers,U.S. Cellular Field,38676.0,175.0
317831,2012-04-13,St. Louis Cardinals,Chicago Cubs,Busch Stadium,46882.0,162.0
317833,2012-04-13,Kansas City Royals,Cleveland Indians,Kauffman Stadium,40230.0,159.0
317839,2012-04-13,San Francisco Giants,Pittsburgh Pirates,AT&T Park,41138.0,130.0
317832,2012-04-13,Washington Nationals,Cincinnati Reds,Nationals Park,26959.0,244.0
317837,2012-04-13,Philadelphia Phillies,New York Mets,Citizens Bank Park,45429.0,153.0
317830,2012-04-13,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,21988.0,160.0
317835,2012-04-13,Miami Marlins,Houston Astros,Marlins Park,30169.0,225.0
317836,2012-04-13,Atlanta Braves,Milwaukee Brewers,Turner Field,50635.0,202.0
