Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
490106,2017-04-02,Tampa Bay Rays,New York Yankees,Tropicana Field,31042.0,201.0
490110,2017-04-02,Arizona Diamondbacks,San Francisco Giants,Chase Field,49016.0,203.0
490099,2017-04-02,St. Louis Cardinals,Chicago Cubs,Busch Stadium,47566.0,213.0
490105,2017-04-03,Washington Nationals,Miami Marlins,Nationals Park,42744.0,167.0
490098,2017-04-03,New York Mets,Atlanta Braves,Citi Field,44384.0,193.0
490108,2017-04-03,Boston Red Sox,Pittsburgh Pirates,Fenway Park,36594.0,183.0
490101,2017-04-03,Milwaukee Brewers,Colorado Rockies,Miller Park,43336.0,206.0
490112,2017-04-03,Baltimore Orioles,Toronto Blue Jays,Oriole Park at Camden Yards,45667.0,221.0
490109,2017-04-03,Los Angeles Dodgers,San Diego Padres,Dodger Stadium,53701.0,172.0
490103,2017-04-03,Minnesota Twins,Kansas City Royals,Target Field,39615.0,167.0
490107,2017-04-03,Cincinnati Reds,Philadelphia Phillies,Great American Ball Park,43804.0,184.0
490100,2017-04-03,Texas Rangers,Cleveland Indians,Globe Life Park in Arlington,48350.0,201.0
490111,2017-04-03,Houston Astros,Seattle Mariners,Minute Maid Park,41678.0,149.0
490104,2017-04-03,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,36067.0,176.0
490102,2017-04-03,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,36534.0,210.0
490102,2017-04-04,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,36534.0,210.0
490116,2017-04-04,Tampa Bay Rays,New York Yankees,Tropicana Field,19366.0,187.0
490114,2017-04-04,Milwaukee Brewers,Colorado Rockies,Miller Park,21458.0,214.0
490113,2017-04-04,Texas Rangers,Cleveland Indians,Globe Life Park in Arlington,23574.0,194.0
490119,2017-04-04,Houston Astros,Seattle Mariners,Minute Maid Park,21406.0,161.0
490136,2017-04-04,St. Louis Cardinals,Chicago Cubs,Busch Stadium,46760.0,177.0
490118,2017-04-04,Arizona Diamondbacks,San Francisco Giants,Chase Field,19378.0,206.0
490115,2017-04-04,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,11225.0,197.0
490117,2017-04-04,Los Angeles Dodgers,San Diego Padres,Dodger Stadium,42196.0,164.0
490125,2017-04-05,Minnesota Twins,Kansas City Royals,Target Field,15171.0,186.0
490134,2017-04-05,Baltimore Orioles,Toronto Blue Jays,Oriole Park at Camden Yards,16086.0,143.0
490127,2017-04-05,Washington Nationals,Miami Marlins,Nationals Park,22715.0,186.0
490130,2017-04-05,Boston Red Sox,Pittsburgh Pirates,Fenway Park,36137.0,233.0
490129,2017-04-05,Cincinnati Reds,Philadelphia Phillies,Great American Ball Park,19944.0,145.0
490120,2017-04-05,New York Mets,Atlanta Braves,Citi Field,28113.0,231.0
490128,2017-04-05,Tampa Bay Rays,New York Yankees,Tropicana Field,12737.0,197.0
490122,2017-04-05,Texas Rangers,Cleveland Indians,Globe Life Park in Arlington,24649.0,205.0
490133,2017-04-05,Houston Astros,Seattle Mariners,Minute Maid Park,20303.0,265.0
490123,2017-04-05,Milwaukee Brewers,Colorado Rockies,Miller Park,21824.0,183.0
490132,2017-04-05,Arizona Diamondbacks,San Francisco Giants,Chase Field,14675.0,195.0
490126,2017-04-05,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,13405.0,195.0
490131,2017-04-05,Los Angeles Dodgers,San Diego Padres,Dodger Stadium,38373.0,163.0
490121,2017-04-05,St. Louis Cardinals,Chicago Cubs,Busch Stadium,44039.0,198.0
490124,2017-04-05,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,26327.0,194.0
490142,2017-04-06,Cincinnati Reds,Philadelphia Phillies,Great American Ball Park,10586.0,185.0
490139,2017-04-06,Minnesota Twins,Kansas City Royals,Target Field,16078.0,194.0
490137,2017-04-06,Milwaukee Brewers,Colorado Rockies,Miller Park,23828.0,187.0
490121,2017-04-06,St. Louis Cardinals,Chicago Cubs,Busch Stadium,44039.0,198.0
490138,2017-04-06,Chicago White Sox,Detroit Tigers,Guaranteed Rate Field,10842.0,211.0
490144,2017-04-06,Los Angeles Dodgers,San Diego Padres,Dodger Stadium,36501.0,194.0
490140,2017-04-06,Oakland Athletics,Los Angeles Angels,Oakland Coliseum,13292.0,164.0
490141,2017-04-06,Washington Nationals,Miami Marlins,Nationals Park,19418.0,206.0
490147,2017-04-06,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,12678.0,176.0
490135,2017-04-06,New York Mets,Atlanta Braves,Citi Field,23100.0,148.0
490146,2017-04-06,Houston Astros,Seattle Mariners,Minute Maid Park,18362.0,177.0
490145,2017-04-06,Arizona Diamondbacks,San Francisco Giants,Chase Field,15308.0,180.0
490143,2017-04-06,Boston Red Sox,Pittsburgh Pirates,Fenway Park,32400.0,195.0
490148,2017-04-07,Pittsburgh Pirates,Atlanta Braves,PNC Park,36484.0,198.0
490149,2017-04-07,Detroit Tigers,Boston Red Sox,Comerica Park,45013.0,215.0
490162,2017-04-07,Philadelphia Phillies,Washington Nationals,Citizens Bank Park,45121.0,214.0
490154,2017-04-07,Colorado Rockies,Los Angeles Dodgers,Coors Field,49169.0,180.0
490159,2017-04-07,San Diego Padres,San Francisco Giants,Petco Park,43441.0,178.0
490157,2017-04-07,Baltimore Orioles,New York Yankees,Oriole Park at Camden Yards,25248.0,200.0
490161,2017-04-07,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,12842.0,233.0
490155,2017-04-07,New York Mets,Miami Marlins,Citi Field,27891.0,186.0
490158,2017-04-07,Texas Rangers,Oakland Athletics,Globe Life Park in Arlington,34235.0,176.0
490153,2017-04-07,Houston Astros,Kansas City Royals,Minute Maid Park,30491.0,192.0
490156,2017-04-07,Chicago White Sox,Minnesota Twins,Guaranteed Rate Field,14004.0,179.0
